type_of_material	headline	web_url	pub_date	section_name
News	After 7 Years of Failing to Fix Afghanistan, Ghani Makes a Hasty Escape	https://www.nytimes.com/2021/08/16/world/asia/afghanistan-president-ashraf-ghani.html	2021-08-16T22:12:15+0000	World
News	The White House threatens sanctions against Putin’s ‘inner circle’ if Russia invades Ukraine.	https://www.nytimes.com/2022/01/31/world/europe/putin-sanctions-list.html	2022-01-31T22:07:53+0000	World
News	Something Weird on the Beach Was Staining Their Feet. But What?	https://www.nytimes.com/2021/06/10/us/black-feet-maine-beaches.html	2021-06-10T15:53:18+0000	U.S.
News	5 Big Questions for the Political Year Ahead	https://www.nytimes.com/2022/01/07/us/politics/politics-inflation-redistricting.html	2022-01-08T00:09:01+0000	U.S.
News	The surge of the Delta variant has forced Americans to recalibrate.	https://www.nytimes.com/2021/08/16/us/the-surge-of-the-delta-variant-has-forced-americans-to-recalibrate.html	2021-08-16T17:10:51+0000	U.S.
News	American Vet Returns to Italy to Greet ‘Bambini’ He Last Saw in 1944	https://www.nytimes.com/2021/08/23/world/europe/american-vet-italy-children-WWII.html	2021-08-23T18:41:49+0000	World
News	Haiti Quake Toll Leaps to Nearly 2,000 Dead as Rain Pelts Survivors	https://www.nytimes.com/2021/08/17/world/americas/haiti-hurricane-storm.html	2021-08-17T11:04:42+0000	World
News	Graphic Video of Capitol Attack Leaves Emotions Raw but May Not Change Votes	https://www.nytimes.com/2021/02/10/us/politics/capitol-riot-footage-impeachment-trial.html	2021-02-11T01:10:49+0000	U.S.
News	Victory in Philadelphia Buoys Supporters of Progressive District Attorney	https://www.nytimes.com/2021/05/19/us/krasner-vega-philadelphia.html	2021-05-19T04:02:24+0000	U.S.
Op-Ed	The Really Big Fight on Voting Rights Is Just Around the Corner	https://www.nytimes.com/2021/06/22/opinion/voting-rights-john-lewis-act.html	2021-06-23T00:22:33+0000	Opinion
News	Turkey Is Next as Wildfires Afflict Mediterranean Countries	https://www.nytimes.com/2021/07/30/world/middleeast/turkey-fires-mediterranean-lebanon.html	2021-07-30T14:06:48+0000	World
News	Djokovic Returns to Warm Embrace in Home Country of Serbia	https://www.nytimes.com/2022/01/17/world/europe/novak-djokovic-australian-open-serbia.html	2022-01-17T15:13:18+0000	World
News	Mexico President’s Grip on Congress Slips, Showing Limits of His Mandate	https://www.nytimes.com/2021/06/07/world/americas/mexico-election-results-lopez-obrador.html	2021-06-07T13:34:52+0000	World
News	A Shift on Climate for Some G.O.P. Leaders	https://www.nytimes.com/2021/06/23/climate/nyt-climate-newsletter.html	2021-06-23T16:45:33+0000	Climate
News	Nando’s, a Chicken Chain Beloved in Britain, Struggles With Poultry Shortage	https://www.nytimes.com/2021/08/20/world/europe/nandos-chicken-shortage-closures-britain.html	2021-08-20T17:08:22+0000	World
News	‘Democracy Is Life’: The Grass-Roots Movement Taking On Sudan’s Generals	https://www.nytimes.com/2022/02/07/world/africa/sudan-protest-movement.html	2022-02-07T10:00:21+0000	World
News	The Plains and Upper Midwest are growing drier as drought deepens in the West.	https://www.nytimes.com/2021/08/25/us/drought.html	2021-08-25T09:00:01+0000	U.S.
News	Boulder Victims: A Police Officer, Grocery Workers, the Son of Refugees	https://www.nytimes.com/2021/03/23/us/boulder-victims.html	2021-03-23T16:50:33+0000	U.S.
News	After a Gloomy Summit Start, Hints of Progress	https://www.nytimes.com/2021/11/03/climate/cop26-summit-progress.html	2021-11-03T14:53:24+0000	Climate
News	Ex-Mayor on Duterte’s ‘Narco Politician’ List Is Killed	https://www.nytimes.com/2021/06/17/world/asia/philippines-mayor-dead-drugs.html	2021-06-17T12:06:21+0000	World
News	The Hong Kong police, citing the pandemic, block Tiananmen anniversary events.	https://www.nytimes.com/2021/05/27/world/asia/hong-kong-tiananmen-covid.html	2021-05-27T10:41:36+0000	World
News	After Success in Seating Federal Judges, Biden Hits Resistance	https://www.nytimes.com/2021/12/05/us/politics/biden-judges-senate-confirmation.html	2021-12-05T08:00:08+0000	U.S.
News	As Coronavirus Hits Vatican Revenue, Pope Cuts Pay for High-Ranking Clerics	https://www.nytimes.com/2021/03/25/world/europe/vatican-pope-pay-cuts.html	2021-03-25T17:58:30+0000	World
Op-Ed	For Jews, Going to Services Is an Act of Courage	https://www.nytimes.com/2022/01/18/opinion/texas-colleyville-antisemitism.html	2022-01-18T10:00:09+0000	Opinion
News	Thailand builds a Covid treatment center at an international airport.	https://www.nytimes.com/2021/07/29/world/thailand-builds-a-covid-treatment-center-at-an-international-airport.html	2021-07-29T09:55:03+0000	World
News	No Longer the ‘Devil’s Lettuce’: How the Town of Weed Embraced Weed	https://www.nytimes.com/2021/05/18/us/weed-california.html	2021-05-18T09:00:31+0000	U.S.
News	Supreme Court Rejects Sentence Reductions for Minor Crack Offenses	https://www.nytimes.com/2021/06/14/us/supreme-court-crack-sentences.html	2021-06-14T18:29:08+0000	U.S.
News	Isaac Herzog will be Israel’s new president.	https://www.nytimes.com/2021/06/02/world/middleeast/israel-president-isaac-herzog.html	2021-06-02T18:01:00+0000	World
News	Summer Is a Scam. Here’s How to Fix It.	https://www.nytimes.com/2021/06/25/science/summer-solstice-time.html	2021-06-25T17:44:20+0000	Science
News	Nicaragua Denies Entry to New York Times Journalist Amid Escalating Crisis	https://www.nytimes.com/2021/06/17/world/americas/nicaragua-ortega-press-crackdown.html	2021-06-17T22:44:02+0000	World
News	Coronavirus Briefing: What Happened Today	https://www.nytimes.com/2021/04/23/us/coronavirus-today.html	2021-04-23T22:34:36+0000	U.S.
News	Pentagon Official Approves Guantánamo Trial of 3 Men for Indonesia Bombings	https://www.nytimes.com/2021/01/21/us/politics/guantanamo-trial-indonesia-bombings.html	2021-01-22T00:56:15+0000	U.S.
News	‘This Vote Matters More Than Anything’: Ballots Are Cast in High-Stakes Runoffs	https://www.nytimes.com/2021/01/05/us/politics/georgia-runoff-election-voters.html	2021-01-05T23:15:42+0000	U.S.
News	The Army is adjusting its new fitness test in response to criticism.	https://www.nytimes.com/2021/03/22/us/politics/army-fitness-test.html	2021-03-22T20:17:41+0000	U.S.
Letter	A ‘Chaotic and Unfair’ Vaccine Rollout	https://www.nytimes.com/2021/02/08/opinion/letters/vaccine-covid.html	2021-02-08T19:12:57+0000	Opinion
News	The Biggest Kink in America’s Supply Chain: Not Enough Truckers	https://www.nytimes.com/2021/11/09/us/politics/trucker-shortage-supply-chain.html	2021-11-09T10:00:24+0000	U.S.
